Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
217.00	0.52722	1177.0	0.00084962	80.387	80.835	0.52497	0.97407	1.9542	972.89	-0.14287	254.89	0.18009	0.017058	13.995	0.071452	392.90	430.57	2.1366	0.63035	0.91121	222.83	26.040	10.973	0.011047
218.00	0.55042	1173.4	0.00085223	82.328	82.797	0.53390	0.97264	1.9566	965.66	-0.13929	250.51	0.17877	0.016808	14.584	0.068571	393.19	430.93	2.1309	0.63318	0.91743	222.94	25.714	11.027	0.011131
219.00	0.57439	1169.8	0.00085486	84.270	84.761	0.54280	0.97123	1.9591	958.43	-0.13560	246.21	0.17746	0.016559	15.191	0.065830	393.48	431.29	2.1251	0.63604	0.92380	223.05	25.396	11.081	0.011216
220.00	0.59913	1166.1	0.00085753	86.214	86.728	0.55166	0.96983	1.9618	951.21	-0.13180	242.01	0.17615	0.016310	15.817	0.063221	393.76	431.64	2.1194	0.63894	0.93032	223.15	25.084	11.135	0.011301
221.00	0.62467	1162.5	0.00086023	88.160	88.698	0.56050	0.96844	1.9646	944.00	-0.12788	237.88	0.17485	0.016062	16.464	0.060738	394.04	431.98	2.1138	0.64187	0.93701	223.23	24.779	11.190	0.011388
222.00	0.65102	1158.8	0.00086295	90.109	90.670	0.56930	0.96707	1.9676	936.79	-0.12386	233.84	0.17355	0.015815	17.131	0.058372	394.31	432.31	2.1082	0.64485	0.94386	223.31	24.480	11.244	0.011475
223.00	0.67819	1155.1	0.00086571	92.059	92.646	0.57807	0.96571	1.9707	929.58	-0.11971	229.88	0.17225	0.015569	17.820	0.056118	394.57	432.63	2.1027	0.64786	0.95088	223.38	24.186	11.299	0.011564
224.00	0.70621	1151.4	0.00086851	94.012	94.625	0.58682	0.96437	1.9739	922.37	-0.11544	226.00	0.17096	0.015324	18.530	0.053968	394.83	432.94	2.0972	0.65091	0.95807	223.44	23.899	11.354	0.011654
225.00	0.73509	1147.7	0.00087133	95.966	96.607	0.59553	0.96304	1.9774	915.16	-0.11104	222.19	0.16967	0.015080	19.261	0.051917	395.08	433.24	2.0917	0.65399	0.96545	223.49	23.617	11.409	0.011745
226.00	0.76484	1143.9	0.00087419	97.924	98.593	0.60422	0.96173	1.9809	907.95	-0.10651	218.46	0.16838	0.014836	20.016	0.049960	395.32	433.53	2.0863	0.65712	0.97302	223.52	23.341	11.465	0.011838
227.00	0.79548	1140.1	0.00087708	99.884	100.58	0.61289	0.96044	1.9847	900.74	-0.10185	214.80	0.16710	0.014594	20.794	0.048092	395.56	433.82	2.0809	0.66029	0.98078	223.55	23.070	11.521	0.011932
228.00	0.82703	1136.3	0.00088001	101.85	102.57	0.62153	0.95917	1.9886	893.53	-0.097044	211.21	0.16583	0.014352	21.595	0.046307	395.79	434.09	2.0755	0.66350	0.98875	223.57	22.805	11.576	0.012027
229.00	0.85950	1132.5	0.00088298	103.81	104.57	0.63014	0.95791	1.9927	886.31	-0.092094	207.69	0.16455	0.014111	22.421	0.044602	396.02	434.35	2.0702	0.66674	0.99693	223.58	22.544	11.633	0.012123
230.00	0.89291	1128.7	0.00088599	105.78	106.57	0.63873	0.95667	1.9970	879.09	-0.086994	204.23	0.16328	0.013871	23.271	0.042971	396.23	434.60	2.0649	0.67004	1.0053	223.57	22.288	11.689	0.012221
231.00	0.92728	1124.8	0.00088903	107.75	108.58	0.64729	0.95545	2.0014	871.86	-0.081739	200.84	0.16201	0.013632	24.147	0.041412	396.44	434.84	2.0597	0.67337	1.0139	223.56	22.037	11.746	0.012321
232.00	0.96262	1120.9	0.00089212	109.73	110.59	0.65584	0.95425	2.0061	864.63	-0.076323	197.51	0.16075	0.013394	25.050	0.039920	396.64	435.07	2.0545	0.67675	1.0228	223.54	21.790	11.803	0.012422
233.00	0.99896	1117.0	0.00089524	111.71	112.60	0.66436	0.95306	2.0109	857.39	-0.070741	194.24	0.15949	0.013157	25.979	0.038493	396.84	435.29	2.0493	0.68016	1.0319	223.50	21.548	11.860	0.012525
234.00	1.0363	1113.1	0.00089841	113.69	114.62	0.67286	0.95190	2.0160	850.14	-0.064986	191.03	0.15823	0.012920	26.936	0.037125	397.02	435.50	2.0441	0.68363	1.0412	223.46	21.311	11.918	0.012629
235.00	1.0747	1109.1	0.00090162	115.67	116.64	0.68134	0.95076	2.0212	842.88	-0.059053	187.88	0.15698	0.012685	27.921	0.035816	397.20	435.69	2.0390	0.68713	1.0509	223.40	21.077	11.976	0.012736
236.00	1.1141	1105.1	0.00090488	117.66	118.67	0.68980	0.94963	2.0267	835.61	-0.052934	184.79	0.15572	0.012451	28.935	0.034561	397.37	435.88	2.0339	0.69068	1.0608	223.33	20.848	12.034	0.012844
237.00	1.1545	1101.1	0.00090818	119.66	120.70	0.69825	0.94853	2.0324	828.32	-0.046622	181.75	0.15448	0.012217	29.978	0.033358	397.53	436.05	2.0288	0.69428	1.0709	223.26	20.622	12.093	0.012954
238.00	1.1961	1097.1	0.00091153	121.65	122.74	0.70667	0.94745	2.0384	821.02	-0.040110	178.77	0.15323	0.011985	31.052	0.032204	397.69	436.21	2.0237	0.69792	1.0814	223.17	20.401	12.152	0.013067
239.00	1.2387	1093.0	0.00091493	123.65	124.79	0.71508	0.94639	2.0445	813.71	-0.033390	175.84	0.15199	0.011753	32.158	0.031097	397.83	436.35	2.0187	0.70161	1.0922	223.07	20.183	12.212	0.013181
