Temperature (K)	Pressure (MPa)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/kg)	Enthalpy (l, kJ/kg)	Entropy (l, J/g*K)	Cv (l, J/g*K)	Cp (l, J/g*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Surf. Tension (l, N/m)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/kg)	Enthalpy (v, kJ/kg)	Entropy (v, J/g*K)	Cv (v, J/g*K)	Cp (v, J/g*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
183.00	0.091522	1235.4	0.00080946	-2.9724	-2.8984	-0.015722	0.96004	1.7181	1145.3	-0.26617	0	0	0.024133	2.7131	0.36858	339.54	373.28	2.0399	0.58209	0.79756	212.18	44.131	0	0
184.00	0.097248	1232.5	0.00081139	-1.2563	-1.1774	-0.0063690	0.95866	1.7186	1138.8	-0.26455	0	0	0.023893	2.8704	0.34838	339.99	373.87	2.0320	0.58462	0.80135	212.55	43.456	0	0
185.00	0.10325	1229.5	0.00081333	0.46028	0.54426	0.0029360	0.95730	1.7192	1132.4	-0.26287	0	0	0.023653	3.0347	0.32952	340.45	374.47	2.0242	0.58719	0.80520	212.91	42.793	0	0
186.00	0.10955	1226.6	0.00081528	2.1774	2.2667	0.012194	0.95597	1.7199	1125.9	-0.26115	0	0	0.023414	3.2063	0.31189	340.89	375.06	2.0165	0.58978	0.80912	213.26	42.141	0	0
187.00	0.11614	1223.6	0.00081725	3.8950	3.9899	0.021405	0.95467	1.7207	1119.5	-0.25938	0	0	0.023176	3.3853	0.29540	341.34	375.65	2.0089	0.59241	0.81312	213.61	41.500	0	0
188.00	0.12305	1220.6	0.00081924	5.6133	5.7141	0.030570	0.95339	1.7215	1113.1	-0.25756	0	0	0.022937	3.5719	0.27996	341.78	376.23	2.0014	0.59506	0.81719	213.95	40.870	0	0
189.00	0.13027	1217.7	0.00082124	7.3323	7.4393	0.039691	0.95214	1.7224	1106.7	-0.25569	0	0	0.022700	3.7664	0.26550	342.22	376.81	1.9940	0.59773	0.82133	214.29	40.252	0	0
190.00	0.13782	1214.7	0.00082325	9.0520	9.1655	0.048767	0.95091	1.7234	1100.2	-0.25377	0	0	0.022463	3.9691	0.25195	342.66	377.39	1.9868	0.60044	0.82554	214.62	39.645	0	0
191.00	0.14571	1211.7	0.00082528	10.773	10.893	0.057801	0.94970	1.7244	1093.8	-0.25179	0	0	0.022226	4.1800	0.23923	343.10	377.96	1.9796	0.60317	0.82982	214.93	39.048	0	0
192.00	0.15394	1208.7	0.00082733	12.494	12.621	0.066791	0.94851	1.7255	1087.4	-0.24976	0	0	0.021990	4.3996	0.22730	343.53	378.52	1.9725	0.60592	0.83418	215.25	38.462	0	0
